calibration_name,upper,lower,clade,bracket_1,bracket_2
placoneis,23,28,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
gomphonema,34,38,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
campylodiscus,5,10,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
epthemia,5,10,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
surirella,11,23,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
pinnularia,32,35,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
sellaphora,5,10,mediophytes_pennates_clade,Ditylum brightwellii Pop1 SS4,Fistulifera solaris
amphipentas,66,70,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
chaetoceros,72,75,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
hemiaulus,94,100,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
eunotogramma,80,83,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
praethalassiosiropsis,120,121,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
thalassiosiropsis,72,83,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
shionodiscus,5.3,7.2,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
cyclostephanos,5.3,11.6,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
stephanodiscus,5.3,11.6,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
discostella,11.6,16,mediophytes_sans_biddulphiella_clade,Ditylum brightwellii Pop1 SS4,Odontella aurita 1302−5
chaetoceros,72,75,chaetoceros_hemiaulus_clade,Hemiaulus sinensis 24i10−1A,Chaetoceros sp. GSL56
hemiaulus,94,100,chaetoceros_hemiaulus_clade,Hemiaulus sinensis 24i10−1A,Chaetoceros sp. GSL56
praethalassiosiropsis,120,121,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
thalassiosiropsis,72,83,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
shionodiscus,5.3,7.2,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
cyclostephanos,5.3,11.6,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
stephanodiscus,5.3,11.6,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
discostella,11.6,16,thalassiosirales_clade,Porosira pseudodenticulata CCMP1433,Thalassiosira punctigera Tpunct2005C2
cyclostephanos,5.3,11.6,discostela_cyclostephanos_clade,Cyclostephanos sp. AJA066−13,Discostella pseudostelligera AJA075−4
stephanodiscus,5.3,11.6,discostela_cyclostephanos_clade,Cyclostephanos sp. AJA066−13,Discostella pseudostelligera AJA075−4
discostella,11.6,16,discostela_cyclostephanos_clade,Cyclostephanos sp. AJA066−13,Discostella pseudostelligera AJA075−4
sceptroneis,83,84,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
synedra,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
licmophora,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
staurosira,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
diatoma,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
tetracyclus,23,28,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
tabellaria,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
lyrella,56,56,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
eunotia,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
hantzschia,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
amblyamphora,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
navicula,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
diploneis,34,37,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
frustulia,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
stauroneis,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
mastogloia,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
cocconeis,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
planothidium,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
encyonema,11,23,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
cymbella,23,28,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
placoneis,23,28,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
gomphonema,34,38,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
campylodiscus,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
epthemia,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
surirella,11,23,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
pinnularia,32,35,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
sellaphora,5,10,pennate_clade,Striatella unipunctata CCMP2910,Fistulifera solaris
synedra,34,38,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
licmophora,5,10,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
staurosira,34,38,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
diatoma,34,38,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
tetracyclus,23,28,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
tabellaria,5,10,araphid_3_clade,Fragilariforma virescens FD291,Synedropsis sp. CCMP2745
diatoma,34,38,diatoma_clade,Diatoma tenuis AJA075−18,Tabellaria flocculosa AJA135−1
tetracyclus,23,28,diatoma_clade,Diatoma tenuis AJA075−18,Tabellaria flocculosa AJA135−1
tabellaria,5,10,diatoma_clade,Diatoma tenuis AJA075−18,Tabellaria flocculosa AJA135−1
lyrella,56,56,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
eunotia,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
hantzschia,5,10,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
amblyamphora,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
navicula,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
diploneis,34,37,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
frustulia,34,38,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
stauroneis,5,10,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
mastogloia,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
cocconeis,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
planothidium,34,38,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
encyonema,11,23,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
cymbella,23,28,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
placoneis,23,28,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
gomphonema,34,38,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
campylodiscus,5,10,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
epthemia,5,10,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
surirella,11,23,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
pinnularia,32,35,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
sellaphora,5,10,raphid_clade,Eunotia naegelii FD354,Fistulifera solaris
diploneis,34,37,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
frustulia,34,38,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
stauroneis,5,10,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
mastogloia,32,35,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
cocconeis,32,35,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
planothidium,34,38,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
encyonema,11,23,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
cymbella,23,28,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
placoneis,23,28,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
gomphonema,34,38,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
campylodiscus,5,10,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
epthemia,5,10,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
surirella,11,23,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
pinnularia,32,35,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
sellaphora,5,10,diploneis_and_up_clade,Diploneis parca AJA141−4,Fistulifera solaris
cocconeis,32,35,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
planothidium,34,38,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
encyonema,11,23,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
cymbella,23,28,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
placoneis,23,28,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
gomphonema,34,38,cocconeis_cymbella_clade,Achnanthidium minutissimum FD330,Gomphonema subclavatum AJA090−1
cocconeis,32,35,cocconeis_clade,Achnanthidium minutissimum FD330,Anorthoneis sp. SZCZ_P_1003
planothidium,34,38,cocconeis_clade,Achnanthidium minutissimum FD330,Anorthoneis sp. SZCZ_P_1003
encyonema,11,23,cymbella_clade,Gomphonema subclavatum AJA090−1,Geissleria decussis AJA076−1
cymbella,23,28,cymbella_clade,Gomphonema subclavatum AJA090−1,Geissleria decussis AJA076−1
placoneis,23,28,cymbella_clade,Gomphonema subclavatum AJA090−1,Geissleria decussis AJA076−1
gomphonema,34,38,cymbella_clade,Gomphonema subclavatum AJA090−1,Geissleria decussis AJA076−1
campylodiscus,5,10,surirella_clade,Epithemia aff. brebissonii AJA109−1,Surirella striatula ECR2AJA−13
epthemia,5,10,surirella_clade,Epithemia aff. brebissonii AJA109−1,Surirella striatula ECR2AJA−13
surirella,11,23,surirella_clade,Epithemia aff. brebissonii AJA109−1,Surirella striatula ECR2AJA−13
pinnularia,32,35,pinnularia_sellaphora_clade,Caloneis linearis AJA131−9,Sellaphora capitata AJA076−8
sellaphora,5,10,pinnularia_sellaphora_clade,Caloneis linearis AJA131−9,Sellaphora capitata AJA076−8
